_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
"""915a54567c0948dafc9e2db364666b2d""","""c48f8f14b4d15280cb6a02bc2e7fc7e3""","""d785706d618494cf5fa66e2c732c7e3a""",3.60E+11,40.689554,-73.873064,Brooklyn,BA,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Other,Applied Learning,,,Supplies,highest poverty,Grades 3-5,,,,,171.48,209.12,0,198,1,f,f,completed,7/22/2003,11/4/03,4/2/04,3/22/2004
"""a4da648c2e53df2e863f3932686347d3""","""c48f8f14b4d15280cb6a02bc2e7fc7e3""","""d785706d618494cf5fa66e2c732c7e3a""",3.60E+11,40.689554,-73.873064,Brooklyn,BA,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 3-5,,,,,209.82,255.88,0,243,2,f,f,completed,7/21/2003,8/11/03,11/20/2003,3/21/2004
"""ea8af2c5fc504ecf31ec5b66bf40b73b""","""c48f8f14b4d15280cb6a02bc2e7fc7e3""","""d785706d618494cf5fa66e2c732c7e3a""",3.60E+11,40.689554,-73.873064,Brooklyn,BA,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,,,,,72.72,88.68,0,84,1,f,f,completed,7/21/2003,8/12/03,11/21/2003,3/21/2004
"""b1ba0501693c7942a0b2c760d0e47ff9""","""c48f8f14b4d15280cb6a02bc2e7fc7e3""","""d785706d618494cf5fa66e2c732c7e3a""",3.60E+11,40.689554,-73.873064,Brooklyn,BA,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades 3-5,,,,,278.6,339.76,0,321,1,f,f,completed,7/21/2003,12/19/2003,2/26/2004,3/21/2004
"""bef5e7a2b46ebc56fce16bc51da7423b""","""c48f8f14b4d15280cb6a02bc2e7fc7e3""","""d785706d618494cf5fa66e2c732c7e3a""",3.60E+11,40.689554,-73.873064,Brooklyn,BA,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Environmental Science,Math & Science,,,Supplies,highest poverty,Grades PreK-2,,,,,57.4,70,0,67,1,f,f,completed,7/21/2003,8/12/03,11/21/2003,3/21/2004
"""c0f66c2e7b05d5d765bd8a6f8ef0b66b""","""c48f8f14b4d15280cb6a02bc2e7fc7e3""","""d785706d618494cf5fa66e2c732c7e3a""",3.60E+11,40.689554,-73.873064,Brooklyn,BA,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Civics & Government,History & Civics,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 3-5,,,,,51.51,62.82,0,60,1,f,f,completed,7/21/2003,8/12/03,11/26/2003,3/21/2004
"""0aa058033800b9a3730a68ca17d1f50a""","""7a36adfd2e6e4ad50544152db7dbd2f7""","""66e02f0b7209427e7cf70b7f7e834ca7""",3.60E+11,40.774147,-73.818588,Flushing,BA,11354,urban,New York City Dept Of Ed,Queens,f,f,f,f,f,f,Mrs.,f,f,Other,Applied Learning,,,Other,highest poverty,Grades 3-5,,,,,337.23,411.26,25,0,0,f,f,expired,8/10/05,,,4/10/06
"""ec753456e425acb7a8a64b2a0ed920fc""","""dc3f112f9223bb522c56eb56eed9e4c6""","""6d5bb1678310eb9d654746aaad4ceaba""",3.60E+11,40.694725,-73.929314,Brooklyn,BA,11221,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,College & Career Prep,Applied Learning,,,Books,highest poverty,Grades 9-12,,,,,2035.6,2482.44,0,2341,1,f,f,completed,8/6/03,12/19/2003,5/12/04,4/6/04
"""7352d617e4c492243c4952436ffed8a7""","""87100fd2d04557efe79d16df885d783a""","""6abb7bd16e8d708427e6b8821a1d348f""",3.60E+11,40.663669,-73.893578,Brooklyn,BA,11207,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,Literacy,Literacy & Language,Books,highest poverty,Grades 3-5,,,,,571.75,697.26,0,658,1,f,f,completed,7/22/2003,9/11/03,,3/22/2004
"""2c51a1770cdde4c31ef1d8a50c0dbe12""","""a95da869e6f51192fc49bee797decf46""","""a1f8fe910e5e84d203b5c35ba09b7120""",3.60E+11,40.830879,-73.901871,Bronx,BA,10456,urban,New York City Dept Of Ed,Bronx,f,f,f,t,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,,,,,199.63,243.45,0,230,1,f,f,completed,8/5/03,8/18/2003,1/26/2004,4/5/04
